"id";"area_construida_m2";"Bairro";"Cep";"cidade_uf";"Endereço";"fim_termo_convenio";"situacao_termo_convenio";"termo_convenio";"Situação";"uf"
"27435";89.28;"Aldeia Cachoeira";"69935-000";"Assis Brasil                        - AC";"Terra Indígena Mamoadate, Subindo o rio Iaco, 01 ";"30/01/2017";"Vigente";"46140/2014";"
                            
                            Concluída";"AC"
"27436";89.28;"Aldeia";"69980-000";"Cruzeiro do Sul                        - AC";"TI Campinas Katukina - Aldeia Masheya, localizada BR-364 distante a 85 Km de CZS, 1 ";"30/01/2017";"Vigente";"46140/2014";"
                            
                            Concluída";"AC"
"19037";1586;"Sonho Verde";"57606-100";"Palmeira dos Índios                        - AL";"Rua Sonho Verde,   ";"31/12/2014";"Vencido";"251/2011";"
                            
                            Concluída";"AL"
"24954";1118.48;"SEBASTIÃO DE OLIVEIRA GOMES";"57250-000";"Campo Alegre                        - AL";"RUA SÃO PEDRO,  00 ";"29/12/2016";"Vigente";"3173/2012";"
                            
                            Concluída";"AL"
"25399";1271;"Liberdade";"69400-000";"Manacapuru                        - AM";"Rua Gilberto Mestrinho,   ";"02/12/2015";"Vencido";"3575/2012";"
                            
                            Concluída";"AM"
"25499";1400;"Eduardo Braga";"69500-000";"Carauari                        - AM";"Rua Travessa III,   ";"31/01/2015";"Vencido";"3617/2012";"
                            
                            Concluída";"AM"
"24661";1211.92;"Fonte Nova";"68925-000";"Santana                        - AP";"Av. Dom Pedro I entre a Rua Everaldo Vasconcelos e Av. Rio Branco, Quadra 155/Setor 08, 155 ";"21/12/2014";"Vencido";"2509/2012";"
                            
                            Concluída";"AP"
"20232";1264.8;"Mimoso do Oeste";"47850-000";"Luís Eduardo Magalhães                        - BA";"Rua São Francisco/Rua Severino Fracaro, Área pública,  ";"24/10/2013";"Vencido";"1894/2011";"
                            
                            Concluída";"BA"
"27356";854;"POVOADO DA PINDA";"48730-000";"Conceição do Coité                        - BA";"ESTRADA DA PINDA, TERRENO, 120 ";"31/07/2015";"Vencido";"9537/2014";"
                            
                            Concluída";"BA"
"20245";0;"Centro";"62270-000";"Hidrolândia                        - CE";", Distrito de Irajá,  ";"15/07/2014";"Vencido";"1397/2011";"
                            
                            Concluída";"CE"
"18321";1211.92;"Justiniano de Serpa";"61700-000";"Aquiraz                        - CE";"BR 116 KM 32, Estrada Nova,  ";"07/12/2014";"Vencido";"1875/2011";"
                            
                            Concluída";"CE"
"31594";1118.48;"Samambaia";"72308-500";"Brasília                        - DF";"QN 503 CONJ 12 LOTE 01,   ";"05/04/2017";"Vigente";"11501/2014";"
                            
                            Concluída";"DF"
